topic,question,answer,difficulty,frequency,tags
核心模块,RAG 检索增强生成的完整 Pipeline 是什么？每个阶段的技术选型有哪些？,"RAG Pipeline 分为 5 个阶段：
1. 文档解析：PDF.js / Unstructured / LlamaParse
2. 文本切分：固定大小 / 语义切分 / 父子切分
3. 向量化：OpenAI ada-002 / BGE / Jina / Cohere
4. 存储检索：pgvector / Pinecone / Milvus / Qdrant
5. 上下文注入：直接拼接 / Map-Reduce / Refine

关键技术选型：
- Chunk Size: 通常 500-1500 tokens，根据文档类型调整
- Embedding 模型：中文优先 BGE-large-zh，多语言用 multilingual-e5
- 检索策略：Top-K + 相似度阈值 + MMR 去重
- 高级 RAG：HyDE / Self-RAG / Adaptive RAG / GraphRAG",中级,高频,RAG;检索;Pipeline;向量数据库
核心模块,Function Calling 和 Tool Use 有什么区别？各自的实现原理？,"Function Calling 是 OpenAI 提出的术语，Tool Use 是 Anthropic 提出的术语，本质相同：让 LLM 结构化地调用外部工具。

实现原理：
1. JSON Schema 定义工具（名称、描述、参数类型、必填字段）
2. 系统提示中注入工具列表
3. LLM 输出结构化的工具调用请求（function_call）
4. 应用层解析请求 → 执行函数 → 返回结果
5. 将结果注入对话历史 → LLM 继续推理

区别：
- OpenAI：支持 parallel_tool_calls（同时调用多个工具）
- Anthropic：支持 tool_use content block，更强调 chain-of-thought
- 开源实现：Gorilla / ToolLLM / NexusRaven

工程要点：工具描述质量直接影响调用准确性；工具数量 >20 时建议用工具检索而非全部注入。",中级,高频,"Function Calling;Tool Use;工具调用"
核心模块,Agent 的记忆系统如何设计？短期记忆和长期记忆的区别？,"记忆系统分四层：

1. 感知记忆（Sensory）：当前上下文窗口内的信息，由 LLM 直接处理
2. 短期记忆（STM）：当前会话的完整对话历史，存储在内存或 Redis
3. 长期记忆（LTM）：跨会话持久化存储，使用向量数据库 + 关系数据库
4. 程序记忆（Procedural）：Agent 的技能和行为模式，编码在提示词或微调中

关键设计决策：
- 记忆检索：语义搜索（embedding similarity）+ 关键词 + 时间衰减
- 记忆写入：自动提取关键信息 → 生成摘要 → embedding → 存储
- 记忆更新：增量更新 vs 全量覆盖
- 记忆整合：Mem0 / Memobase / Letta 等记忆框架

工程挑战：记忆膨胀、检索精度、隐私合规、跨会话一致性",中级,高频,记忆;向量数据库;上下文管理
工作模式,ReAct 模式的核心原理是什么？和 Chain-of-Thought 有什么区别？,"ReAct（Reasoning + Acting）工作流程：
Thought → Action → Observation → Thought → Action → ... → Final Answer

每步生成：
- Thought：推理当前状态，决定下一步
- Action：调用工具（搜索/计算/代码执行）
- Observation：接收工具返回结果
- 循环直到任务完成

与 CoT 的区别：
- CoT：仅推理，不执行操作。适合数学、逻辑推理
- ReAct：推理 + 行动交替。适合需要外部信息/工具的任务
- ReAct 的优势：错误可追溯、结果可验证、能处理不确定性
- ReAct 的代价：步骤多 → 延迟高、Token 消耗大

实现要点：
- 设置最大步骤数（10-15）防止无限循环
- 解析 Thought/Action 格式（正则或 JSON）
- 错误处理：工具失败 → LLM 感知错误 → 重试或换策略

论文：Yao et al., ReAct: Synergizing Reasoning and Acting in Language Models, ICLR 2023",高级,高频,"ReAct;CoT;推理;工作模式"
架构设计,多 Agent 系统有哪些协调模式？各自适用场景？,"五种主流协调模式：

1. Supervisor 模式（中央协调）：
   一个 Supervisor Agent 分配任务、汇总结果
   适用：任务可分解、子任务类型不同

2. Peer-to-Peer 模式（去中心化）：
   Agent 之间直接通信，消息广播
   适用：平等角色协作、需要灵活通信

3. Pipeline 模式（流水线）：
   Agent 串行处理，输出→输入
   适用：数据处理流水线、多阶段任务

4. Blackboard 模式（共享黑板）：
   所有 Agent 读写共享状态空间
   适用：需要全局状态的复杂问题

5. Market 模式（竞标机制）：
   Agent 竞标任务，最优者执行
   适用：资源受限、需要效率优化

框架选型：AutoGen（微软）/ CrewAI / LangGraph / MetaGPT

选择标准：任务复杂度、通信开销、调试难度、可扩展性",高级,高频,"多Agent;协调;架构;Supervisor"
工作模式,Plan-and-Execute 模式和 ReAct 模式如何选择？,"Plan-and-Execute（P&E）：
1. Planner 生成完整执行计划（任务步骤列表）
2. Executor 逐步执行每个子任务
3. 执行过程中可 Re-plan（重新规划）

对比 ReAct：
| 维度 | ReAct | P&E |
|------|-------|-----|
| 规划时机 | 边做边想 | 先想再做 |
| 步骤效率 | 多步试错 | 计划引导 |
| 适应性 | 灵活应对变化 | 计划可能僵化 |
| Token 消耗 | 每步推理 | 集中规划 |
| 可审查性 | 推理链 | 显式计划 |

选择指南：
- 任务确定性高 → P&E
- 任务需要探索 → ReAct
- 长任务（>15 步）→ P&E
- 短任务（<10 步）→ ReAct
- 可并行子任务 → P&E
- 工具结果不确定 → ReAct

实现：LangChain PlanAndExecuteAgent / LangGraph 条件边",高级,高频,"Plan-and-Execute;ReAct;规划;工作模式"
架构设计,如何设计 Agent 的上下文窗口管理策略？,"当对话超过 LLM 上下文限制时的管理策略：

1. 滑动窗口（Sliding Window）：
   保留最近 N 轮，丢弃早期历史
   优点：简单；缺点：丢失关键信息

2. 摘要压缩（Summarization）：
   用 LLM 将历史压缩为摘要
   优点：信息密度高；缺点：细节丢失

3. 重要性过滤（Importance Filtering）：
   保留工具结果、用户指令等关键信息
   基于规则或模型判断重要性

4. 外部记忆检索（Memory Retrieval）：
   历史存入向量数据库，按需检索
   优点：可扩展；缺点：检索精度依赖

5. 分层策略（推荐）：
   - 近期 5 轮：完整保留
   - 中期 20 轮：摘要压缩
   - 远期历史：外部记忆检索

Token 管理工具：tiktoken / Anthropic tokenizer
成本控制：设置每会话 Token 预算上限",高级,中频,"上下文;Token;记忆管理;滑动窗口"
工程实践,Agent 的可观测性系统如何搭建？需要监控哪些指标？,"三大支柱：

1. 日志（Logs）：
   - 每步 Thought/Action/Observation
   - LLM 输入输出（截断存储）
   - 工具调用参数和结果
   - 错误堆栈

2. 指标（Metrics）：
   - Token 消耗（总量/每步/每次任务）
   - 延迟（P50/P95/P99）
   - 成功率（任务级/步骤级）
   - 工具调用频率和成功率
   - 用户满意度

3. 追踪（Traces）：
   - 完整执行链路（每个步骤的输入输出）
   - 可视化决策树
   - 支持回放和调试

工具选型：
- LangSmith（LangChain 生态）
- Langfuse（开源，自托管）
- Arize Phoenix（开源）
- 自建：ELK / Grafana + Prometheus

生产必备：告警规则（Token 超限/成功率下降/延迟飙升）",高级,中频,"可观测性;监控;日志;LangSmith"
工程实践,Agent 的测试策略有哪些？如何评估 Agent 质量？,"分层测试：

1. 单元测试：
   - 工具函数测试
   - 提示模板测试
   - 解析逻辑测试

2. 集成测试：
   - LLM + 单工具交互
   - Mock LLM 响应（确定性）

3. 端到端测试：
   - 完整任务流程
   - 使用 temperature=0 确保确定性

4. 评估（Evaluation）：
   - LLM-as-Judge：用 GPT-4 评估输出质量
   - Golden Dataset：标准问答对 + 相似度评分
   - 人工评估：定期抽样人工打分

评估维度：
- 准确性：答案是否正确
- 完整性：是否覆盖所有要点
- 效率：步骤数、Token 消耗
- 鲁棒性：异常输入处理
- 安全性：Prompt Injection 防护

评估框架：AgentBench / GAIA / WebArena / LangSmith Eval",高级,中频,测试;评估;质量保证;LLM-as-Judge
工程实践,Prompt Injection 是什么？如何防御？,"Prompt Injection 是攻击者通过精心构造的输入，覆盖或操纵 LLM 系统指令的攻击方式。

攻击类型：
1. 直接注入：用户输入中包含“忽略之前的指令...”
2. 间接注入：通过外部文档/网页注入恶意指令
3. 多模态注入：图片中的文字包含攻击指令

防御策略（纵深防御）：

1. 输入层：
   - 输入验证：检测和过滤可疑模式
   - 特殊字符转义
   - 输入长度限制

2. 架构层：
   - 指令分离：系统提示和用户输入严格区分
   - 角色权限：最小权限原则
   - 沙箱执行：代码/命令在隔离环境运行

3. 输出层：
   - 输出过滤：检测有害内容
   - 人工审核：高风险操作前 Human-in-the-Loop

4. 监控层：
   - 异常检测：监控异常指令模式
   - 审计日志：记录所有输入输出",高级,高频,安全;Prompt Injection;防御
